date,age,nationality,old_level,mod_failed,gender,avg_1st_sem,cont_study
20/07/2021 10:13,30,Irish,8,2,Female,55,1
20/07/2021 11:10,28,Irish,7,1,Female,54,1
21/07/2021 16:45,26,Irish,7,1,Male,67,0
21/07/2021 17:23,34,Other,6,1,Male,54,0
21/07/2021 21:19,33,Irish,7,0,Female,75,0
22/07/2021 12:05,32,Irish,6,0,Male,80,0
22/07/2021 12:21,34,Irish,7,1,Male,52,0
22/07/2021 13:07,39,Other,7,0,Female,90,0
25/07/2021 11:11,42,Irish,6,1,Male,69,0
25/07/2021 19:13,28,Irish,6,1,Male,73,0
25/07/2021 20:45,24,Other,8,1,Male,70,1
26/07/2021 10:33,37,Other,7,0,Female,83,1
26/07/2021 13:13,34,Irish,8,1,Female,63,1
26/07/2021 15:20,37,Irish,6,1,Male,55,0
26/07/2021 17:51,29,Irish,8,0,Male,72,0
28/07/2021 09:02,43,Other,7,0,Male,77,0
28/07/2021 09:31,32,Irish,7,0,Female,73,0
28/07/2021 13:43,39,Irish,8,0,Male,64,0
28/07/2021 18:33,38,Irish,7,1,Male,70,0
28/07/2021 18:35,24,Irish,6,0,Male,73,0
